,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3669,starbucks,"Don't be shy. Score a job like ""shift supervisor - Store# 13595, MANASSAS CROSSROADS"" at Starbucks by asking for referrals. It's a great way to get a meeting with HR. Check out the link in our bio to apply. #Retail #Manassas, VA",38.7857501,-77.5164403,51153901403,0.8095,fast_food,51153901403,0
3670,starbucks,"So after my work out and my fine at #GNC, I am trying to relax a little before going home and working #TallIcedCoffee #Foodie #coffee #starbucks @ Starbucks ",40.082454,-75.403573,42091205801,0.5719,fast_food,42091205801,0
3671,starbucks,"Tall iced coffee / lines taking forever (@ Starbucks in King of Prussia, PA) ",40.08254635,-75.40363243,42091205801,0.0,fast_food,42091205801,0
3672,starbucks,"I'm at Starbucks in King of Prussia, PA ",40.08726303,-75.38998495,42091205801,0.0,fast_food,42091205801,0
3673,starbucks,"So after my work out and my fine at #GNC, I am trying to relax a little before going home and working #TallIcedCoffee #Foodie #coffee #starbucks @ Starbucks ",40.082454,-75.403573,42091205801,0.5719,fast_food,42091205801,0
3674,starbucks,"Tall iced coffee / lines taking forever (@ Starbucks in King of Prussia, PA) ",40.08254635,-75.40363243,42091205801,0.0,fast_food,42091205801,0
3675,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 08501, INDIAN TRAIL &amp; OAKBROOK"" at Starbucks in #Norcross, GA.",33.9327646,-84.17833370000002,13135050313,0.3612,fast_food,13135050313,0
3676,starbucks,"If you're looking for work in #Norcross, GA, check out this #Retail job via the link in our bio: shift supervisor - Store# 08501, INDIAN TRAIL &amp; OAKBROOK at Starbucks",33.9327646,-84.17833370000001,13135050313,0.0,fast_food,13135050313,0
3677,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""barista - Store# 08501, INDIAN TRAIL &amp; OAKBROOK"" at Starbucks in #Norcross, GA.",33.9327646,-84.17833370000001,13135050313,0.3612,fast_food,13135050313,0
3678,starbucks,"This job is now open at Starbucks in #NewYork, NY. Follow us and turn on mobile alerts to hear about jobs like these as soon as they're posted: barista - Store# 08130, EAST 34TH &amp; PARK #Retail",40.7465582,-73.9811847,36061007200,0.3612,fast_food,36061007200,0
